time of insert, time of get, number of rehashed, number of keys
183605,30199,undefined,1000000
1830983,318321,undefined,10000000
19632954,3186010,undefined,100000000
23,3,undefined,100
184,28,undefined,1000
1824,345,undefined,10000
18825,2905,undefined,100000
197315,32552,undefined,1000000
1835077,323363,undefined,10000000
19999312,3172040,undefined,100000000
25,3,undefined,100
208,28,undefined,1000
1914,322,undefined,10000
19988,2784,undefined,100000
183429,29700,undefined,1000000
1875774,320525,undefined,10000000
19696538,3185830,undefined,100000000
22,3,undefined,100
193,35,undefined,1000
1847,344,undefined,10000
20275,2774,undefined,100000
184079,31350,undefined,1000000
1854552,320729,undefined,10000000
20099508,3174691,undefined,100000000
22,3,undefined,100
189,28,undefined,1000
1880,343,undefined,10000
20639,2925,undefined,100000
182157,30724,undefined,1000000
1826461,315906,undefined,10000000
19688869,3180377,undefined,100000000
22,3,undefined,100
192,28,undefined,1000
1880,354,undefined,10000
20078,2987,undefined,100000
182645,30567,undefined,1000000
1826781,317965,undefined,10000000
19627575,3189420,undefined,100000000
22,3,undefined,100
187,26,undefined,1000
1678,331,undefined,10000
19513,2691,undefined,100000
182738,31791,undefined,1000000
1829653,316549,undefined,10000000
19827100,3155135,undefined,100000000
22,4,undefined,100
183,27,undefined,1000
1870,276,undefined,10000
21242,2963,undefined,100000
180767,31071,undefined,1000000
1916981,319469,undefined,10000000
19691659,3188736,undefined,100000000
22,3,undefined,100
188,28,undefined,1000
1876,283,undefined,10000
19708,3167,undefined,100000
197335,33391,undefined,1000000
1825994,319961,undefined,10000000
19998754,3154813,undefined,100000000
21,3,undefined,100
193,27,undefined,1000
1794,329,undefined,10000
20161,2916,undefined,100000
183568,30451,undefined,1000000
1827504,318722,undefined,10000000
19905668,3167858,undefined,100000000
22,3,undefined,100
183,27,undefined,1000
1710,266,undefined,10000
19638,2807,undefined,100000
184454,31862,undefined,1000000
1827352,319761,undefined,10000000
19998550,3168759,undefined,100000000
21,3,undefined,100
182,26,undefined,1000
1774,264,undefined,10000
21930,2936,undefined,100000
182927,30621,undefined,1000000
1870237,320071,undefined,10000000
19986260,3174634,undefined,100000000
23,3,undefined,100
176,26,undefined,1000
1814,269,undefined,10000
20531,2900,undefined,100000
183004,31958,undefined,1000000
1830680,317106,undefined,10000000
21166006195,3149785,undefined,100000000
27,3,undefined,100
209,28,undefined,1000
1916,295,undefined,10000
